Cannel, CC, Regler, Midi range
Selected, 118, Volumen Lfo Target OSC1, 0-127
Selected, 119, Volumen Lfo Target OSC2, 0-127
Selected, 120, Volumen Lfo Target Sub OSC1, 0-127
Selected, 121, Volumen Lfo Target Sub OSC2, 0-127
Selected, 122, Midi Pitchband Range, 0-23
Selected, 123, Auto Peak Correction, 0-1
Selected, 124, Master Clock To all Lfos, 0-1
Selected, 125, Master Clock To MOD Lfo, 0-1
Selected, 126, Master Clock To VOL Lfo, 0-1
Selected, 127, Master Clock To Freq LFO, 0-1

Selected + 1, 1, Lowpass Filter Freqency, 0-127
Selected + 1, 2, Lowpass Filter Resonance, 0-127
Selected + 1, 3, Highpass Filter Freqency, 0-127
Selected + 1, 4, Highpass Filter Resonance, 0-127
